7,12
399.99654944930563,299.99058520862883
499.9952394345259,300.00413440800753
449.9927467441984,386.60825983461467
349.99502234289713,386.6112688612458
300.00244608628435,299.990798553279
349.9909762972638,213.40060038874034
450.0053263740533,213.3891787773607
0,1,99.9986909031363
0,2,100.01120587995626
1,2,100.00261904647174
0,3,100.01647638974113
2,3,99.99772444657353
0,4,99.99410336324887
3,4,100.01181708751521
0,5,99.99191375992724
4,5,99.9835765054845
0,6,100.00340676888393
5,6,100.01435072896197
6,1,100.00570957046665
