6,10
399.99931650330706,299.9911736834298,False
500.00796382157324,299.9904941326879,False
430.8946215379718,395.1093745298558,False
319.09929456142754,358.78849760337664,False
319.0964075452952,241.22483423061084,False
430.9107462740536,204.88751559282102,False
0,1,100.00864732057492
0,2,100.00995953126879
1,2,117.57659414024965
0,3,100.00969378187166
2,3,117.54744248387918
0,4,99.99381646158075
3,4,117.5636634082141
0,5,100.0011113572605
4,5,117.57060462179221
5,1,117.55425130535957
