10,45
500.0019017678534,300.00221745409743
480.90891285767844,358.784177377103
430.89607363331027,395.09954918622606
369.1042155742548,395.09876012058237
319.0975624962577,358.78409944219646
299.9941543480982,299.9929960363575
319.1020633131894,241.22350850870254
369.08981512437214,204.89268717311563
430.8917284180139,204.89967839840523
480.8970829127209,241.2299569960715
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,3
2,4
2,5
2,6
2,7
2,8
2,9
3,4
3,5
3,6
3,7
3,8
3,9
4,5
4,6
4,7
4,8
4,9
5,6
5,7
5,8
5,9
6,7
6,8
6,9
7,8
7,9
8,9
