10,18
400.0,0.0,False
375.0,43.30127018922193,False
425.0,43.30127018922193,False
350.0,86.60254037844386,False
400.0,86.60254037844386,False
450.0,86.60254037844386,False
325.0,129.9038105676658,False
375.0,129.9038105676658,False
425.0,129.9038105676658,False
475.0,129.9038105676658,False
1,0,50.0
2,0,50.0
2,1,50.0
3,1,50.0
4,2,50.0
4,1,50.0
4,3,50.0
5,2,50.0
5,4,50.0
6,3,50.00000000000001
7,4,50.00000000000001
7,3,50.00000000000001
7,6,50.0
8,5,50.00000000000001
8,4,50.00000000000001
8,7,50.0
9,5,50.00000000000001
9,8,50.0
