9,16
400.0,300.0,False
500.0,300.0,False
470.71067811865476,370.71067811865476,False
400.0,400.0,False
329.28932188134524,370.71067811865476,False
300.0,300.0,False
329.28932188134524,229.28932188134524,False
400.0,200.0,False
470.71067811865476,229.28932188134524,False
0,1,100.0
0,2,100.0
1,2,76.53668647301795
0,3,100.0
2,3,76.53668647301795
0,4,100.0
3,4,76.53668647301795
0,5,100.0
4,5,76.53668647301795
0,6,100.0
5,6,76.53668647301795
0,7,100.0
6,7,76.53668647301795
0,8,100.0
7,8,76.53668647301795
8,1,76.53668647301795
